date;start_time;description;location;category;activity
01.01.2020;;Neujahr;;holiday;feiertag
20.02.2020;;Altweiber;;info;
24.02.2020;;Rosenmontag;;info;
26.02.2020;;Ascher-mittwoch;;info;
10.04.2020;;Karfreitag;;holiday;feiertag
12.04.2020;;Ostersonntag;;info;
31.05.2020;;Pfingstsonntag;;holiday;feiertag
01.06.2020;;Pfingstmontag;;holiday;feiertag
03.10.2020;;Tag der dt. Einheit;;holiday;feiertag
01.11.2020;;Allerheiligen;;holiday;feiertag
25.12.2020;;;1. Weihnachts-feiertag;holiday;feiertag
26.12.2020;;;2. Weihnachts-feiertag;holiday;feiertag
31.12.2020;;Sylvester;;info;feiertag
01.01.2021;;Neujahr;;holiday;feiertag
